session,condition,data,data_sec
0,300sc,5,0.275
0,600sc,6,0.32500000000000007
0,900sc,26,1.325
1,300sc,6,0.32500000000000007
1,600sc,0,0.025
1,900sc,0,0.025
2,300sc,6,0.32500000000000007
2,600sc,8,0.42500000000000004
2,900sc,7,0.37500000000000006
3,300sc,5,0.275
3,600sc,5,0.275
3,900sc,5,0.275
4,300sc,0,0.025
4,600sc,0,0.025
4,900sc,0,0.025
5,300sc,5,0.275
5,600sc,0,0.025
5,900sc,7,0.37500000000000006
6,300sc,5,0.275
6,600sc,0,0.025
6,900sc,0,0.025
7,300sc,4,0.225
7,600sc,4,0.225
7,900sc,5,0.275
8,300sc,2,0.125
8,600sc,8,0.42500000000000004
8,900sc,7,0.37500000000000006
9,300sc,4,0.225
9,600sc,7,0.37500000000000006
9,900sc,4,0.225
10,300sc,4,0.225
10,600sc,6,0.32500000000000007
10,900sc,22,1.125
11,300sc,5,0.275
11,600sc,9,0.47500000000000003
11,900sc,10,0.525
12,300sc,0,0.025
12,600sc,5,0.275
12,900sc,9,0.47500000000000003
13,300sc,8,0.42500000000000004
13,600sc,0,0.025
13,900sc,0,0.025
14,300sc,0,0.025
14,600sc,0,0.025
14,900sc,0,0.025
15,300sc,0,0.025
15,600sc,0,0.025
15,900sc,0,0.025
16,300sc,6,0.32500000000000007
16,600sc,6,0.32500000000000007
16,900sc,4,0.225
17,300sc,6,0.32500000000000007
17,600sc,5,0.275
17,900sc,6,0.32500000000000007
18,300sc,0,0.025
18,600sc,0,0.025
18,900sc,0,0.025
19,300sc,7,0.37500000000000006
19,600sc,4,0.225
19,900sc,8,0.42500000000000004
20,300sc,6,0.32500000000000007
20,600sc,6,0.32500000000000007
20,900sc,7,0.37500000000000006
21,300sc,7,0.37500000000000006
21,600sc,6,0.32500000000000007
21,900sc,4,0.225
22,300sc,7,0.37500000000000006
22,600sc,6,0.32500000000000007
22,900sc,4,0.225
