noise_perc_600,noise_perc_900,animal,experiment
0.575,0.6363636363636364,5,noise
0.7931034482758621,0.8493150684931506,63,noise
0.6101694915254238,,200,noise
0.6,0.5833333333333334,233,noise
0.8367346938775511,0.88,100,noise
0.3076923076923077,,259,noise
0.6842105263157895,0.8846153846153846,284,noise
0.6756756756756757,0.5,17,noise
0.4691358024691358,0.5846153846153846,11,noise
0.5294117647058824,0.8333333333333334,110,noise
0.21739130434782608,,280,noise
0.75,,178,noise
0.875,0.9565217391304348,185,noise
0.851063829787234,0.7857142857142857,191,noise
0.7419354838709677,0.42857142857142855,184,noise
0.8561151079136691,0.7349397590361446,195,noise
0.7160493827160493,0.6923076923076923,186,noise
0.5,0.7931034482758621,176,noise
0.7567567567567568,0.5882352941176471,179,noise
0.25,0.125,1,noise
0.6106194690265486,0.2191780821917808,22,sc
,,253,sc
0.6888888888888889,0.6818181818181818,26,sc
0.75,0.7941176470588235,29,sc
,,30,sc
,0.875,32,sc
,,33,sc
0.9291338582677166,0.7065217391304348,113,sc
0.8571428571428571,0.6896551724137931,114,sc
0.6511627906976745,0.6818181818181818,118,sc
0.45,0.43478260869565216,123,sc
0.7254901960784313,0.8163265306122449,129,sc
0.868421052631579,0.7894736842105263,133,sc
,,173,sc
,,202,sc
,,227,sc
0.7403846153846154,0.611764705882353,1,sc
0.8214285714285714,0.5858585858585859,11,sc
,,16,sc
0.7843137254901961,0.7142857142857143,18,sc
0.7310924369747899,0.7125,2,sc
0.6989247311827957,0.7160493827160493,7,sc
0.6166666666666667,0.6037735849056604,9,sc
