noise_first_half,noise_second_half,condition,animal,experiment
0.6,0.5333333333333333,600,5,noise
0.625,,900,5,noise
0.8717948717948718,0.7291666666666666,600,63,noise
0.9,0.7878787878787878,900,63,noise
0.6666666666666666,0.6111111111111112,600,200,noise
,,900,200,noise
0.68,0.8571428571428571,600,233,noise
0.6666666666666666,,900,233,noise
0.9666666666666667,0.631578947368421,600,100,noise
0.8571428571428571,0.9090909090909091,900,100,noise
,0.375,600,259,noise
,,900,259,noise
0.7,0.6111111111111112,600,284,noise
0.9375,0.8,900,284,noise
0.5333333333333333,0.7727272727272727,600,17,noise
0.5454545454545454,,900,17,noise
0.3333333333333333,0.9555555555555556,600,11,noise
0.4594594594594595,0.7586206896551724,900,11,noise
0.4482758620689655,0.675,600,110,noise
0.8620689655172413,0.7894736842105263,900,110,noise
0.3333333333333333,0.17647058823529413,600,280,noise
,,900,280,noise
0.6666666666666666,0.8571428571428571,600,178,noise
,,900,178,noise
0.8571428571428571,0.8888888888888888,600,185,noise
1.0,,900,185,noise
0.8709677419354839,0.8125,600,191,noise
0.8888888888888888,,900,191,noise
1.0,0.68,600,184,noise
,,900,184,noise
0.855072463768116,0.8571428571428571,600,195,noise
0.6842105263157895,0.022222222222222223,900,195,noise
0.7619047619047619,0.6666666666666666,600,186,noise
0.7777777777777778,0.4,900,186,noise
0.5625,0.4166666666666667,600,176,noise
0.75,0.8235294117647058,900,176,noise
0.8,0.7058823529411765,600,179,noise
0.8333333333333334,0.45454545454545453,900,179,noise
,0.2857142857142857,600,1,noise
,0.14285714285714285,900,1,noise
0.5833333333333334,0.4411764705882353,600,22,sc
0.2558139534883721,0.40625,900,22,sc
,,600,253,sc
,,900,253,sc
0.725,0.4897959183673469,600,26,sc
0.7380952380952381,0.5348837209302325,900,26,sc
0.0,0.75,600,29,sc
0.9375,0.3333333333333333,900,29,sc
,,600,30,sc
,,900,30,sc
,,600,32,sc
1.0,0.3333333333333333,900,32,sc
,,600,33,sc
,,900,33,sc
0.9545454545454546,0.6666666666666666,600,113,sc
0.6222222222222222,0.3695652173913043,900,113,sc
0.8360655737704918,0.7692307692307693,600,114,sc
0.7586206896551724,0.44,900,114,sc
0.6086956521739131,0.6779661016949152,600,118,sc
0.717391304347826,0.3673469387755102,900,118,sc
0.2727272727272727,0.5,600,123,sc
0.25,0.45454545454545453,900,123,sc
0.7708333333333334,0.96,600,129,sc
0.8,0.43902439024390244,900,129,sc
0.9333333333333333,0.7272727272727273,600,133,sc
0.6666666666666666,0.5714285714285714,900,133,sc
,,600,173,sc
,,900,173,sc
,,600,202,sc
,,900,202,sc
,,600,227,sc
,,900,227,sc
0.7636363636363637,0.6739130434782609,600,1,sc
0.6046511627906976,0.46511627906976744,900,1,sc
0.8653846153846154,0.8571428571428571,600,11,sc
0.6666666666666666,0.37777777777777777,900,11,sc
,,600,16,sc
,,900,16,sc
0.8518518518518519,0.5,600,18,sc
0.6,0.3783783783783784,900,18,sc
0.6896551724137931,0.53125,600,2,sc
0.6829268292682927,0.5714285714285714,900,2,sc
0.68,0.4074074074074074,600,7,sc
0.6097560975609756,0.4090909090909091,900,7,sc
0.5862068965517241,0.6666666666666666,600,9,sc
0.45454545454545453,0.25925925925925924,900,9,sc
