Animal,DOB,ABN,rec_date,weight,colony,rec_type,sex
9240,2008-09-08,1,2024-07-19,43.6,Baggins,noise,f
24,2019-11-25,5,2024-07-19,44,Baggins,noise,f
4573,2019-01-08,11,2024-07-19,71.8,Baggins,noise,f
3342,2020-11-04,17,2024-07-19,46.1,Baggins,noise,f
1041,2019-11-01,63,2024-07-17,56.1,Brandybucks,noise,f
2255,2022-07-28,100,2024-07-17,45.6,Brandybucks,noise,f
5867,2008-06-09,110,2024-08-06,55.3,Chubbs,noise,f
9140,2022-12-15,176,2024-08-06,45,Chubbs,noise,m
8776,2022-12-15,178,2024-08-06,42.6,Chubbs,noise,f
9141,2022-12-15,179,2024-08-06,37.6,Chubbs,noise,m
8823,2023-01-11,184,2024-08-08,47.6,Boffin,noise,f
8820,2023-01-11,185,2024-08-08,60,Boffin,noise,f
8826,2023-01-11,186,2024-07-17,33.4,Brandybucks,noise,m
8822,2023-01-11,191,2024-08-08,38.9,Boffin,noise,f
8824,2023-01-11,195,2024-08-08,64,Boffin,noise,f
1508,2023-03-06,200,2024-08-06,42,Chubbs,noise,m
1530,2023-09-04,233,2024-07-17,33,Brandybucks,noise,f
2800,2023-12-03,259,2024-07-17,30,Brandybucks,noise,m
7562,2024-02-27,280,2024-08-08,29.4,Boffin,noise,m
2805,2024-02-27,284,2024-08-08,27.2,Boffin,noise,m
1695,2017-12-13,22,2024-10-18,75.7,Took,sc,m
2343,2019-11-22,26,2024-10-18,48.2,Took,sc,m
1611,2021-03-12,29,2024-10-18,56.4,Took,sc,f
2187,2021-03-12,30,2024-10-18,62.6,Took,sc,m
2184,2021-03-12,32,2024-10-18,54.9,Took,sc,m
2189,2021-03-12,33,2024-10-18,48.7,Took,sc,m
1691,2023-11-18,253,2024-10-18,43,Took,sc,m
72,2017-09-25,113,2024-10-30,71.8,Chubbs,sc,m
894,2017-12-10,114,2024-10-30,68.6,Chubbs,sc,m
322,2020-05-15,118,2024-10-30,56.2,Chubbs,sc,f
2638,2022-04-10,123,2024-10-30,50,Chubbs,sc,f
2253,2022-07-01,129,2024-10-30,44.8,Chubbs,sc,f
9183,2022-09-21,133,2024-10-30,41.9,Chubbs,sc,f
8775,2022-12-15,173,2024-10-30,37.8,Chubbs,sc,f
1507,2023-03-06,202,2024-10-30,43.2,Chubbs,sc,m
2841,2023-08-16,227,2024-10-30,33.7,Chubbs,sc,f
9240,2008-09-08,1,2024-11-13,54.2,Baggins,sc,f
9239,2009-08-03,2,2024-11-13,46.7,Baggins,sc,m
1614,2019-08-10,7,2024-11-13,50.2,Baggins,sc,f
9229,2020-04-28,9,2024-11-13,44.5,Baggins,sc,f
9230,2019-01-08,11,2024-11-13,73.9,Baggins,sc,f
9243,2020-11-04,16,2024-11-13,31,Baggins,sc,m
1619,2021-06-24,18,2024-11-13,36,Baggins,sc,f
